FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Factura),Unidades,BASEMONEDA,CENTROCOSTE,CENTROCOSTE2,CENTROCOSTE3,Nom Cost Center,Nom Project
4/23/2018,705205,Inscripción ROBOTIX Infantil,12,"ESTUDIO AGORA, S.A.",580,1.00 ,0,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
4/23/2018,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,577,5.00 ,230,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
5/22/2018,705223,Formación ROBOTIX 1 CM (1H),4,FUNDACIÓ MARISTES CHAMPAGNAT,718,5.00 ,230,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
1/26/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,96,11.00 ,561,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
1/26/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,96,24.00 ,1104,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
1/26/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,96,12.00 ,708,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
3/23/2018,705220,Inscripción ROBOTIX CM,33,FUNDACION ESCUELA SUIZA DE BARCELONA,404,1.00 ,0,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
5/15/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,703,11.00 ,561,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
5/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,703,25.00 ,1150,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
5/15/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,703,11.00 ,649,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
6/1/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,857,11.00 ,561,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
6/1/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,857,23.00 ,1058,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
2/16/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,223,11.00 ,561,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
2/16/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,223,24.00 ,1104,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
2/16/2018,705228,Formación ROBOTIX 3 CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,223,12.00 ,708,14,140,14004,EXTRAESCOLARS,ROBOTIX 3
3/15/2018,705222,Formación ROBOTIX INFANTIL CM (1.5H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,11.00 ,561,14,140,14001,EXTRAESCOLARS,ROBOTIX INFANTIL
3/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,5.00 ,230,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
3/15/2018,705223,Formación ROBOTIX 1 CM (1H),33,FUNDACION ESCUELA SUIZA DE BARCELONA,364,1.00 ,23,14,140,14002,EXTRAESCOLARS,ROBOTIX 1
