FECHA_1,CodArt,DescArt,CodCli,Nomcli,NUMDOC (Num. Oferta),BASEMONEDA (importe),Unidades,CENTROCOSTE3
4/6/2018,45024,STEAM Park,1583,COL.LEGI SANT MIQUEL ARCANGEL- Manyanet Molins,345,749.95,5.00,14110
4/6/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,1583,COL.LEGI SANT MIQUEL ARCANGEL- Manyanet Molins,345,"1,109.97",3.00,14110
4/6/2018,1LA9686,Certificación LEGO Education Máquinas y mecanismos,1583,COL.LEGI SANT MIQUEL ARCANGEL- Manyanet Molins,345,190.00,2.00,14120
5/17/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,1682,Proyecto Educativo Las Palmas SLU,478,"1,849.95",5.00,14110
5/22/2018,45300,LEGO® Education WeDo 2.0 Core Set,1694,Colegio Casa de la Virgen,483,"1,143.84",8.00,14110
5/24/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,1694,Colegio Casa de la Virgen,492,"2,959.92",8.00,14110
9/7/2018,2000702,LE Replacement Pack LME 3,1695,ESCOLA DOCTOR ALBERICH I CASAS,997,6.69,1.00,14110
9/7/2018,9998,Garantía anual - No question,1695,ESCOLA DOCTOR ALBERICH I CASAS,997,76.63,1.00,14110
6/11/2018,9656,Early Simple Machines Set,1759,ESCOLA ÀNGEL GUIMERÀ,551,0.00,3.00,14110
6/11/2018,9689,Simple Machines Set,1759,ESCOLA ÀNGEL GUIMERÀ,551,0.00,6.00,14110
6/11/2018,9686,Simple & Powered Machines Set,1759,ESCOLA ÀNGEL GUIMERÀ,551,0.00,6.00,14110
6/11/2018,1LA9686,Certificación LEGO Education Máquinas y mecanismos,1759,ESCOLA ÀNGEL GUIMERÀ,551,0.00,2.00,14120
11/30/2018,705001,SERVICIOS PRESTADOS,1759,ESCOLA ÀNGEL GUIMERÀ,1596,180.00,1.00,14110
6/22/2018,45300,LEGO® Education WeDo 2.0 Core Set,1794,ESCOLA ATENEU INSTRUCTIU,617,"1,000.86",7.00,14110
6/22/2018,1LA45300,Certificació Bàsica LEGO Education WeDo 2.0,1794,ESCOLA ATENEU INSTRUCTIU,617,95.00,1.00,14120
7/2/2018,45544,LEGO® MINDSTORMS® Education EV3 Core Set,1836,FUNDACION DOLORES SOPEÑA,653,"1,479.96",4.00,14110
7/2/2018,45517,Transformer 10V DC,1836,FUNDACION DOLORES SOPEÑA,653,63.98,2.00,14110
7/2/2018,1LA45544E,¡INTENSIVO! - Introducción a la robótica con LEGO MINDSTORMS Education EV3,1836,FUNDACION DOLORES SOPEÑA,653,150.00,1.00,14120
7/2/2018,45300,LEGO® Education WeDo 2.0 Core Set,1838,ESCOLA LES CLISQUES,658,571.92,4.00,14110
7/2/2018,45300,LEGO® Education WeDo 2.0 Core Set,1838,ESCOLA LES CLISQUES,659,285.96,2.00,14110
7/9/2018,45300,LEGO® Education WeDo 2.0 Core Set,1838,ESCOLA LES CLISQUES,716,428.94,3.00,14110
7/10/2018,45300,LEGO® Education WeDo 2.0 Core Set,1872,ESCOLA MIRALLETES,727,714.90,5.00,14110
7/10/2018,9689,Simple Machines Set,1872,ESCOLA MIRALLETES,728,274.95,5.00,14110
7/13/2018,45300,LEGO® Education WeDo 2.0 Core Set,1892,Escola Sant Domènec,748,571.92,4.00,14110
7/18/2018,45024,STEAM Park,1903,Juan Ángel Larumbe,754,899.94,6.00,14110
7/18/2018,45002,Tech Machines,1903,Juan Ángel Larumbe,754,"1,079.94",6.00,14110
7/18/2018,45300,LEGO® Education WeDo 2.0 Core Set,1903,Juan Ángel Larumbe,754,"2,859.60",20.00,14110
7/18/2018,245544,LEGO® MINDSTORMS Education EV3 Core Set + transformador,1903,Juan Ángel Larumbe,754,"10,359.72",28.00,14110
12/18/2018,45300PA20,Pack aula LEGO Education WeDo 2.0 20 alumnos,1908,C.P. CAMPO ARAÑUELO,1706,"2,595.80",2.00,14110
9/6/2018,45300,LEGO® Education WeDo 2.0 Core Set,1991,CEIP Mirador de San Javier,984,0.00,21.00,14110
9/6/2018,1LA45300,Certificació Bàsica LEGO Education WeDo 2.0,1991,CEIP Mirador de San Javier,984,0.00,1.00,14120
9/6/2018,9998,Garantía anual - No question,1993,Institut Mediterrània,989,306.44,1.00,14110
