Organization,Lat,Lon
Institut Marta Mata,40.4069157,-3.607934799999999
Institut MARTÍ L'HUMÀ,28.4690569,-16.2496857
INSTITUT Mercè Rodoreda,41.9942814,1.5159267
Institut Milà i Fontanals,41.79036199999999,0.812367
INSTITUT Miquel Martí i Pol,41.6414759,2.3599412
Institut Montserrat,42.84517,-2.6789988
Institut Narcís Oller,41.6156605,2.6505836
INSTITUT Nicolau Copèrnic,41.35594409999999,2.035033
Institut Pablo Ruiz Picasso,41.3810926,2.176611
INSTITUT Pau Claris,40.3909928,-3.744473299999999
institut Poblenou,36.7475865,-3.6006397
INSTITUT PRÍNCEP DE GIRONA,37.3393345,-5.849245499999999
Institut Quercus,36.7267303,-4.4251474
Institut Rambla Prim,40.5283789,-3.6320598
INSTITUT Les Salines,41.1234433,1.1929271
Institut Ridaura,41.1473564,1.1009789
INSTITUT Roda de Berà,40.7071872,0.5688594
Institut Roquetes,42.588268,-2.7945556
INSTITUT Roseta Mauri,41.119017,1.250573
INSTITUT Salvador Espriu,40.3474872,-3.7087143
INSTITUT Salvador Seguí,41.4805004,1.9817935
institut sant andreu,39.1827727,-0.4375332
INSTITUT Santiago Sobrequés i Vidal,41.2901197,1.2529607
INSTITUT SECRETARI COLOMA,43.146524,-2.961848
INSTITUT SERRALLARGA,41.092446,0.6384839999999999
INSTITUT SÒL DE RIU,41.4314061,2.1857498
Institut Torrent dels Alous,41.4182422,2.2106149
Institut Valerià Pujol i Bosch,40.4362816,-3.673148
INSTITUT Vall d'Arús,39.57207470000001,-0.3372277
INSTITUT VALL D'HEBRON,42.2105617,2.6042365
INSTITUT VALL DE LLÉMENA,40.44581720000001,-3.4685334
INSTITUT Vallvera,41.5639521,2.0117478
Institut Vila de Gràcia,41.4087736,2.1334203
Instituto Saudi de Madrid,40.4462975,-3.7327343
KING,38.3787708,-7.1659183
La Creativa,41.3967968,2.1496206
LA SALLE SANT CELONI,41.647534,1.137802
PARC D'ATRACCIONS DEL TIBIDABO S.A.U.,38.9962267,-1.8678024
Bell-Lloc del Pla,41.6274603,0.8919537999999999
ESCOLA VEDRUNA VALL,41.7065802,2.8385883
Liceo Oroquieta,41.40303249999999,2.2092203
Vicerrectorado de Innovación Social y Emprendimiento - Universidad de Málaga,41.383518,2.1750891
American School of Barcelona,41.3459989,2.0221746
MARE DE DÉU DE LA MERCÈ,41.6872672,-0.8699395999999999
Colegio Jules Verne,41.37654209999999,2.1521278
Escola Marinada,40.4298795,-3.6182705
Institut Can Mas,38.9195447,1.3046427
Mas Camarena,41.6780256,2.2863967
Clementina,40.56179600000001,-3.613826
Kensington School Madrid,41.327489,2.096083
Hermanas de la Consolación,41.3725378,2.0556723
La Salle Bonanova,41.410803,2.185334
Gureak,40.9336216,-4.099673
MOLINA - Centre d'ensenyament,41.4900398,2.142262
IES MARE DE DÉU DE LA MERCÈ,41.5783199,2.0275052
Institut Camí de Mar,41.55521479999999,2.2227409
INSTITUT EGARA,41.6211609,0.888919
Institut Hipàtia d'Alexandria,40.52517,-3.630783
Institut Joaquima Pla i Farreras,40.3622632,-3.5476818
INSTITUT L'ALZINA,41.3450696,1.7015684
Institut La Ribera,41.4777018,2.3128582
Institut Pere Barnils,48.8407439,2.1977532
Ocio Alcaria,40.4675299,-3.5882346
Particular (pare),41.7067585,2.4355719
Alfredo Cipriani,41.593194,2.408329
Particular Escola Hatikva,41.39780210000001,2.1519371
ROBOTIX Madrid RAQUEL GALLO COLLADO,41.3925703,2.1671473
PES Martí Codolar (Salesians de Barcelona),41.4438023,2.240715
PFI AUXILIAR EN MUNTATGE I MANTENIMENT EQUIPS INFORMÀTICS,41.5047991,2.3915542
Col·legi Pare Enric d'Ossó,41.4242083,2.1557413
IES Dr Peset Aleixandre,41.3746514,2.1116531
Asimov Robotica,41.4273757,1.9915839
OKOLA ORIENTACIÓN SALUD EDUCACIÓN,41.63627899999999,2.3893306
Carmelites Tarragona,41.3011399,2.0012267
Fundació Vedruna (Central),41.4314358,2.2204986
Bitlan,41.8241727,1.8945653
PC Box Barakaldo,41.4369821,2.2245507
Montse Ramírez,41.3965313,2.1438201
Dlleure,41.3559256,2.0641977
Inquiet,41.3729439,2.1735053
Decuatro,41.4146039,2.1565104
CREA Robótica,37.388549,-6.047355599999999
Zona Robótica,41.485358,2.187988
Kids Engineers,41.34979329999999,2.1075183
Atlantis,41.3900106,2.1713392
La Malle Buisonniere,41.4128074,2.1904985
Centro Informático Logos,41.6843945,0.4990441
Cosmofutura,41.40293399999999,2.121508
Eduka Planet,39.481768,-0.421321
Sport Dirigit,40.3472742,-3.8137296
Todo Ocio,38.3567087,-0.5058289
Infimont,41.3891696,2.1218449
The Corner,41.3907359,2.171782
Cooperativa AEMA,41.3992364,2.145023
Teckman Books,41.4800169,2.0324922
Aprenbot,41.3959712,2.1881079
Sagals,41.4022595,2.1377739
Monitors animación y espectáculos,41.4361752,2.1495519
Sistema Led Visual,41.3936612,2.1291407
Accrentum,41.4310031,2.1782248
Centro oficial de Formación Fortaleza del Sol,41.73271099999999,0.4396885
City of Languages,41.289305,1.246017
Iluvatar,40.3115431,-3.7716617
Deportae,40.6413626,-3.146349
Arm Robotics Institute,40.44531569999999,-3.6492859
GMX,40.3724361,-3.758437299999999
Mare Creaciones,38.9624653,-0.1829014
Ludicco,40.3944116,-3.7388194
2T Psicologia,37.8914153,-4.7660866
Ichuperipecias,41.0742995,1.0516848
Mumuchu,41.5204201,0.8659232
Centro de Estudios Tesla,41.6154601,1.8459734
Mori Sistemas,41.3465992,2.0379007
Angel Navarro,41.3943067,2.1280655
Kibo Studios,40.5297393,-3.628949
Tintatóner,40.483687,-3.3664057
Albert Bosch Flores,40.382211,-3.645028
INSTITUT JOSEP PLA,41.37962,2.09678
CRP Horta Guinardó,42.3472775,-3.6910484
Punt Multimèdia Sants,37.5708771,-6.7514474
Biblioteques de Catalunya,40.4167754,-3.7037902
