Cód. cliente,Lat,Lon
698.0,41.9764363,2.8193056
702.0,43.3716637,-3.0225754
703.0,40.3276718,-3.7505998
704.0,39.719911,2.872428
706.0,41.9777457,-1.4458483
709.0,37.3822261,-6.0123468
712.0,28.6867588,-17.765231
715.0,37.602581,-1.3123333
722.0,41.6905393,2.3537953
724.0,28.9598144,-13.5591952
726.0,42.4353986,-2.9526666
729.0,36.7344477,-4.466913100000001
730.0,41.4596439,2.2180963
731.0,40.4458509,-3.6136004
732.0,40.3819957,-3.6700483
733.0,40.490208,-3.357037
734.0,41.6466529,-0.9334944999999999
735.0,28.057236,-16.7169478
736.0,41.6149905,2.2732292
738.0,38.4716212,-0.8198774999999999
740.0,40.354513,-3.74432
741.0,41.5356515,2.1215885
742.0,28.8015997,-17.7748838
744.0,39.1827727,-0.4375332
745.0,41.61822919999999,0.6164143999999999
746.0,37.2202088,-3.6893661
750.0,36.8391599,-2.6133298
751.0,38.9238812,1.431567
752.0,41.6220806,-4.749076899999999
753.0,41.9643483,2.8291316
754.0,28.4875651,-16.3148128
